step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,2.0310773849487305,0.7333333333333333,,2.3474254608154297,0.7142857142857143,,,,,2026-06-16T19:38:57.3040000Z
2,2.716866970062256,0.7142857142857143,,1.5769967351640974,0.8214285714285714,,,,,2026-06-16T19:39:04.1290000Z
3,1.3850070238113403,0.8333333333333334,,0.7504994528634208,0.8571428571428571,,,,,2026-06-16T19:39:19.1140000Z
4,0.6661757230758667,0.9333333333333333,,0.5729438236781529,0.8571428571428571,,,,,2026-06-16T19:39:27.7980000Z
5,0.4318316876888275,0.9,,0.5835240909031459,0.8571428571428571,,,,,2026-06-16T19:39:32.9130000Z
6,0.3773336112499237,0.9354838709677419,,0.6053122792925153,0.8571428571428571,,,,,2026-06-16T19:39:39.5200000Z
7,0.6701958775520325,0.8709677419354839,,0.5158364432198661,0.8571428571428571,,,,,2026-06-16T19:39:46.7060000Z
8,0.2663520872592926,0.9,,0.46240261622837614,0.8571428571428571,,,,,2026-06-16T19:39:54.1940000Z
9,0.3731400668621063,0.8518518518518519,,0.41342101778302875,0.8928571428571429,,,,,2026-06-16T19:39:59.2900000Z
10,0.2939101755619049,0.8928571428571429,,0.41447087696620394,0.8928571428571429,,,,,2026-06-16T19:40:05.8960000Z
11,0.29096466302871704,0.8571428571428571,,0.4244903836931501,0.8928571428571429,,0.4244903836931501,0.8928571428571429,,2026-06-16T19:40:14.4790000Z
12,0.13954569399356842,0.9666666666666667,,0.46157632555280415,0.8928571428571429,,,,,2026-06-16T19:40:24.0710000Z
13,0.15144777297973633,0.9642857142857143,,0.47951037543160574,0.8928571428571429,,,,,2026-06-16T19:40:29.1730000Z
14,0.0936635360121727,0.9666666666666667,,0.5041022300720215,0.8928571428571429,,,,,2026-06-16T19:40:34.2940000Z
15,0.27449464797973633,0.8928571428571429,,0.5074438367571149,0.8928571428571429,,,,,2026-06-16T19:40:39.4120000Z
16,0.06567750871181488,1,,0.5232020105634417,0.8928571428571429,,,,,2026-06-16T19:40:44.5220000Z
17,0.2367967814207077,0.967741935483871,,0.5185626574925014,0.8928571428571429,,,,,2026-06-16T19:40:49.6310000Z
18,0.17473310232162476,0.9333333333333333,,0.5108748163495745,0.8928571428571429,,,,,2026-06-16T19:40:55.0120000Z
19,0.07653529196977615,0.9666666666666667,,0.5064706121172223,0.8928571428571429,,,,,2026-06-16T19:41:00.1760000Z
20,0.11532960087060928,0.9629629629629629,,0.4881502560206822,0.8928571428571429,,,,,2026-06-16T19:41:05.2700000Z
21,0.5036681294441223,0.9032258064516129,,0.47122859954833984,0.8928571428571429,,,,,2026-06-16T19:41:10.3810000Z
22,0.38655203580856323,0.9,,0.47490242549351286,0.8928571428571429,,0.47490242549351286,0.8928571428571429,,2026-06-16T19:41:18.6420000Z
