step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,0.6341476440429688,,0,,,,,,,2026-06-18T02:39:35.5440000Z
2,0.6410098075866699,,0,,,,,,,2026-06-18T02:39:49.1440000Z
3,0.632430374622345,,0,,,,,,,2026-06-18T02:40:02.7790000Z
4,0.6572209596633911,,0,,,,,,,2026-06-18T02:40:16.7040000Z
5,0.6724739074707031,,0,,,,,,,2026-06-18T02:40:30.3330000Z
6,0.5786809325218201,,0,,,,,,,2026-06-18T02:40:43.9510000Z
7,0.644784152507782,,0,,,,,,,2026-06-18T02:40:57.8790000Z
8,0.6915308237075806,,0,,,,,,,2026-06-18T02:41:11.4940000Z
9,0.6397851705551147,,0,,,,,,,2026-06-18T02:41:25.1230000Z
10,0.6029325127601624,,0,0.6646092534065247,,0,,,,2026-06-18T02:41:43.3040000Z
11,0.6851981282234192,,0,,,,,,,2026-06-18T02:41:56.8350000Z
12,0.5629589557647705,,0,,,,,,,2026-06-18T02:42:10.7490000Z
13,0.6568251848220825,,0,,,,,,,2026-06-18T02:42:24.3660000Z
14,0.6247117519378662,,0,,,,,,,2026-06-18T02:42:38.2860000Z
15,0.6007078886032104,,0,,,,,,,2026-06-18T02:42:51.9100000Z
16,0.6045330166816711,,0,,,,,,,2026-06-18T02:43:05.5400000Z
17,0.5916739702224731,,0,,,,,,,2026-06-18T02:43:19.4750000Z
18,0.6131407618522644,,0,,,,,,,2026-06-18T02:43:33.1010000Z
19,0.5498687624931335,,0,,,,,,,2026-06-18T02:43:46.7440000Z
20,0.6347922086715698,,0,0.6453607678413391,,0,,,,2026-06-18T02:44:04.6090000Z
21,0.5924883484840393,,0,,,,,,,2026-06-18T02:44:18.1560000Z
22,0.6504744291305542,,0,,,,,,,2026-06-18T02:44:31.7940000Z
23,0.6380410194396973,,0,,,,,,,2026-06-18T02:44:45.4510000Z
24,0.6039108633995056,,0,,,,,,,2026-06-18T02:44:59.1070000Z
25,0.5430388450622559,,0,,,,,,,2026-06-18T02:45:12.7630000Z
26,0.6113582849502563,,0,,,,,,,2026-06-18T02:45:26.7240000Z
27,0.5720813870429993,,0,,,,,,,2026-06-18T02:45:40.6810000Z
28,0.4875546097755432,,0,,,,,,,2026-06-18T02:45:54.9440000Z
29,0.6075388789176941,,0,,,,,,,2026-06-18T02:46:08.9660000Z
30,0.5630664825439453,,0,0.6118643879890442,,0,,,,2026-06-18T02:46:27.7450000Z
31,0.6778959631919861,,0,,,,,,,2026-06-18T02:46:41.2830000Z
32,0.536723792552948,,0,,,,,,,2026-06-18T02:46:54.9110000Z
33,0.5178815126419067,,0,,,,,,,2026-06-18T02:47:08.8560000Z
